seed=1
rau theta phi
1 0.252605 4.325692
1 1.957255 5.455358
1 2.398669 3.955538
1 1.832873 4.625835
1 2.062864 4.557898
1 2.038485 6.279779
1 3.095021 5.583064
1 2.460912 1.465207
1 1.007933 1.924677
1 1.173034 2.205494
1 1.268232 3.224994
1 1.597347 3.714076
1 1.754047 5.315459
1 2.335001 2.589180
1 1.394039 5.287367
1 2.322687 1.692170
1 1.091263 2.610001
1 1.400767 3.375980
1 1.645474 2.940011
1 1.506587 1.804609
1 1.131199 1.120466
1 0.871937 0.965851
1 0.805764 3.591813
1 1.714601 5.041664
1 2.220325 0.207683
1 0.365647 3.358047
1 1.639751 3.132043
1 1.567757 6.002709
1 2.715824 4.701661
1 2.090457 3.484553
1 1.680182 5.596669
1 2.467823 3.926044
1 1.823165 5.290691
1 2.324137 1.003849
1 0.822399 1.336757
1 0.958807 4.490655
1 2.014647 0.819499
1 0.738996 0.571709
1 0.612837 1.725288
1 1.103108 0.018847
1 0.109592 2.603081
1 1.398532 0.168869
1 0.329367 4.459928
1 2.003844 5.892982
1 2.637876 1.507404
1 1.023737 1.136602
1 0.878628 1.995160
1 1.197248 5.573127
1 2.455901 4.097005
1 1.879808 0.944583
1 0.796337 4.281024
1 1.941952 2.424145
1 1.340393 2.436150
1 1.344316 3.139965
1 1.570278 0.926977
1 0.788466 3.689402
1 1.746066 5.312908
1 2.333877 3.707762
1 1.752004 6.003011
1 2.716057 3.494369
1 1.683326 0.930864
1 0.790209 6.178288
1 2.882451 2.568357
1 1.387302 0.891080
1 0.772224 3.549363
1 1.700961 1.584157
1 1.052101 3.069427
1 1.547823 2.915590
1 1.498795 6.038739
1 2.744503 0.791875
1 0.725846 1.255111
1 0.926688 2.005905
1 1.200919 3.953815
1 1.832305 0.796156
1 0.727896 4.091948
1 1.878119 3.905842
1 1.816530 5.045856
1 2.222002 1.557236
1 1.042206 2.993509
1 1.523642 2.446133
1 1.347576 1.277059
1 0.935397 0.178287
1 0.338513 5.665382
1 2.503691 2.679762
1 1.423256 0.892344
1 0.772801 5.953235
1 2.679168 2.578073
1 1.390446 0.824282
1 0.741253 5.564693
1 2.451672 0.579144
1 0.616940 1.019124
1 0.829014 0.446506
1 0.539681 2.295493
1 1.298107 1.590006
1 1.054244 0.848917
1 0.752794 4.920696
1 2.172814 2.860780
1 1.481291 2.196125
1 1.265106 2.841886
1 1.475251 5.082749
1 2.236852 5.853883
1 2.612665 4.094413
1 1.878942 1.352445
1 0.964895 4.270005
1 1.938191 5.710925
1 2.528450 1.571585
1 1.047488 5.408942
1 2.377080 2.961028
1 1.513289 3.179014
1 1.582708 3.772385
1 1.772958 5.136890
1 2.258964 4.749105
1 2.107944 2.904371
1 1.495214 5.977618
1 2.696881 3.975614
1 1.839495 2.760394
1 1.449157 5.181726
1 2.277585 4.328995
1 1.958390 4.412094
1 1.987134 6.202418
1 2.914349 5.996766
1 2.711267 5.348685
1 2.349756 1.817827
1 1.135844 3.376745
1 1.645718 3.232288
1 1.599670 0.649895
1 0.654862 2.601418
1 1.397995 3.623617
1 1.724838 5.507625
1 2.423605 2.764844
1 1.450584 4.585140
1 2.048223 5.461745
1 2.401680 4.496513
1 2.016713 5.031074
1 2.216099 4.439293
1 1.996620 4.660338
1 2.075367 0.119961
1 0.277238 5.567098
1 2.452876 3.298593
1 1.620792 2.911143
1 1.497376 0.409625
1 0.516380 4.482565
1 2.011797 3.072120
1 1.548681 4.195151
1 1.912782 4.285441
1 1.943461 1.253839
1 0.926182 5.759381
1 2.555789 5.440501
1 2.391705 5.592152
1 2.465522 3.417728
1 1.658807 0.874588
1 0.764671 2.829616
1 1.471327 6.216348
1 2.934949 1.354227
1 0.965585 2.802448
1 1.462632 1.983805
1 1.193364 3.233701
1 1.600119 5.538654
1 2.438751 2.762877
1 1.449954 2.937589
1 1.505814 5.068331
1 2.231028 2.294356
1 1.297732 1.329013
1 0.955792 6.277635
1 3.082142 0.965125
1 0.805444 3.961475
1 1.834830 3.872643
1 1.805650 0.003739
1 0.048792 0.005523
1 0.059305 4.859114
1 2.149219 4.569980
1 2.042798 2.005452
1 1.200765 2.624635
1 1.405492 4.288238
1 1.944417 4.276097
1 1.940269 1.289698
1 0.940386 5.255381
1 2.308837 4.454279
1 2.001864 5.206926
1 2.288181 0.594068
1 0.625104 0.513573
1 0.579887 4.800384
1 2.127052 3.955716
1 1.832932 1.343673
1 0.961494 1.341754
1 0.960749 0.509320
1 0.577412 2.443048
1 1.346569 5.982596
1 2.700579 5.953601
1 2.679430 2.449522
1 1.348682 1.691526
1 1.091032 4.349026
1 1.965287 1.784645
1 1.124165 4.881192
1 2.157635 4.925170
1 2.174543 2.654393
1 1.415088 1.772838
1 1.119994 1.218734
1 0.912127 0.071102
1 0.213159 1.205265
1 0.906694 6.177853
1 2.881910 1.533438
1 1.033411 5.150491
1 2.264582 0.857372
1 0.756722 2.501611
1 1.365648 3.776258
1 1.774217 1.111372
1 0.868150 5.204706
1 2.287243 0.991054
1 0.816827 6.207391
1 2.921485 1.615838
1 1.063675 1.467747
1 1.008889 0.638606
1 0.648939 1.378598
1 0.974987 3.988047
1 1.843602 4.373143
1 1.973617 4.993686
1 2.201285 4.374623
1 1.974129 4.730864
1 2.101199 4.206722
1 1.916694 3.979957
1 1.840930 0.354627
1 0.479732 3.758706
1 1.768515 1.426332
1 0.993232 2.002940
1 1.199907 4.397189
1 1.981952 0.737878
1 0.699559 4.791373
1 2.123678 3.305730
1 1.623067 3.480328
1 1.678829 3.694443
1 1.747695 2.071355
1 1.223170 4.417013
1 1.988846 0.898780
1 0.775731 1.015914
1 0.827628 3.049388
1 1.541442 5.404957
1 2.375249 5.109899
1 2.247891 3.498702
1 1.684714 4.643253
1 2.069165 1.985533
1 1.193955 0.850317
1 0.753446 3.320967
1 1.627924 1.952430
1 1.182597 3.695261
1 1.747960 3.255215
1 1.606971 2.707096
1 1.432047 1.626357
1 1.067501 2.326200
1 1.308243 2.469402
1 1.355164 2.807741
1 1.464327 2.990144
1 1.522570 2.436815
1 1.344533 1.754850
1 1.113623 0.491742
1 0.567079 2.323158
1 1.307240 1.595441
1 1.056232 4.220944
1 1.921510 4.248922
1 1.931010 3.229157
1 1.598673 4.577981
1 2.045659 4.528718
1 2.028106 5.936057
1 2.667058 2.894647
1 1.492110 5.907219
1 2.647346 2.020422
1 1.205871 2.892993
1 1.491582 3.249320
1 1.605094 4.155419
1 1.899389 2.524791
1 1.373178 3.805346
1 1.783680 6.198379
1 2.908711 0.944953
1 0.796501 4.210352
1 1.917923 2.160269
1 1.253115 3.403665
1 1.654314 3.284898
1 1.616428 5.210260
1 2.289590 0.093937
1 0.245159 1.722911
1 1.102260 4.039955
1 1.860802 3.431477
1 1.663201 5.767007
1 2.560194 1.675181
1 1.085158 6.095234
1 2.793935 1.550270
1 1.039636 5.302854
1 2.329458 4.360679
1 1.969308 2.863572
1 1.482184 5.133999
1 2.257773 0.138756
1 0.298317 1.010015
1 0.825075 4.441897
1 1.997530 4.447404
1 1.999457 2.743480
1 1.443732 3.659460
1 1.736394 4.723134
1 2.098349 6.229986
1 2.957300 4.371081
1 1.972903 1.756224
1 1.114110 4.736659
1 2.103339 1.075549
1 0.853112 0.026728
1 0.130537 3.114519
1 1.562178 0.502133
1 0.573207 1.024668
1 0.831406 5.675609
1 2.509178 4.919684
1 2.172423 4.691523
1 2.086743 2.742143
1 1.443303 0.039846
1 0.159438 3.674326
1 1.741194 3.257696
1 1.607762 0.420029
1 0.523048 3.418195
1 1.658956 2.448755
1 1.348431 1.356074
1 0.966299 2.423861
1 1.340300 3.938686
1 1.827323 4.140954
1 1.894528 4.456788
1 2.002743 3.384509
1 1.648196 1.761107
1 1.115841 5.126653
1 2.254753 2.336777
1 1.311727 4.310904
1 1.952178 1.948849
1 1.181365 0.058732
1 0.193668 0.652178
1 0.656054 3.273289
1 1.612729 4.875000
1 2.155270 1.386606
1 0.978064 0.347327
1 0.474673 0.443812
1 0.538010 1.007031
1 0.823781 4.547542
1 2.034795 1.866245
1 1.152772 0.317945
1 0.453784 3.002133
1 1.526390 2.872433
1 1.485015 3.267184
1 1.610784 2.805377
1 1.463570 0.944435
1 0.796271 1.796629
1 1.128390 5.238179
1 2.301460 4.370819
1 1.972813 3.630274
1 1.726983 4.279882
1 1.941562 2.080834
1 1.226377 0.361128
1 0.484196 6.200769
1 2.912030 3.407957
1 1.655685 0.010414
1 0.081445 5.379617
1 2.363687 0.184446
1 0.344368 2.372219
1 1.323381 3.076572
1 1.550098 3.620201
1 1.723738 4.643015
1 2.069079 4.268370
1 1.937633 3.369463
1 1.643394 0.223604
1 0.379569 0.769733
1 0.715163 6.115774
1 2.813663 1.182972
1 0.897651 2.207401
1 1.268867 3.858664
1 1.801077 3.817735
1 1.787716 0.791259
1 0.725550 3.473735
1 1.676719 5.994338
1 2.709418 2.242626
1 1.280590 5.265948
1 2.313393 6.121408
1 2.819278 1.627434
1 1.067893 1.580394
1 1.050722 2.666181
1 1.418884 5.108531
1 2.247333 5.641761
1 2.491171 1.536781
1 1.034649 4.779099
1 2.119093 4.365912
1 1.971116 2.839065
1 1.474349 1.656375
1 1.078377 4.181481
1 1.908167 0.732437
1 0.696865 1.316719
1 0.950993 0.714245
1 0.687793 3.436744
1 1.664885 0.038198
1 0.156099 1.105679
1 0.865773 3.765886
1 1.770847 2.713760
1 1.434188 0.518404
1 0.582687 4.319153
1 1.955009 2.358143
1 1.318756 5.254041
1 2.308261 0.776837
1 0.718604 6.115714
1 2.813605 0.186204
1 0.346022 0.504873
1 0.574813 3.105431
1 1.559285 4.834518
1 2.139897 5.868686
1 2.622079 1.571772
1 1.047556 2.259797
1 1.286289 4.832486
1 2.139130 3.141312
1 1.570707 4.707687
1 2.092668 4.221694
1 1.921764 4.283032
1 1.942638 4.754927
1 2.110102 0.228504
1 0.383756 1.448726
1 1.001718 1.392777
1 0.980430 3.534933
1 1.696330 4.100544
1 1.880991 3.874278
1 1.806185 2.333988
1 1.310809 1.412468
1 0.987956 1.468327
1 1.009107 4.102993
1 1.881809 1.042553
1 0.839084 4.675345
1 2.080832 1.003787
1 0.822373 0.299322
1 0.440068 4.159428
1 1.900737 0.785052
1 0.722568 5.963730
1 2.686714 3.042196
1 1.539152 3.902145
1 1.815317 5.742988
1 2.546417 0.112749
1 0.268722 3.729357
1 1.758997 4.535653
1 2.030568 3.120117
1 1.563960 0.337372
1 0.467692 2.774859
1 1.453795 3.262072
1 1.609155 4.850268
1 2.145860 0.410646
1 0.517037 2.782134
1 1.456126 6.139804
1 2.838307 2.938906
1 1.506234 2.067520
1 1.221871 2.801860
1 1.462444 4.670128
1 2.078930 1.290197
1 0.940583 1.076808
1 0.853644 2.340611
1 1.312990 5.904469
1 2.645504 6.062339
1 2.764401 1.601945
1 1.058609 0.441929
1 0.536839 0.778165
1 0.719246 3.307078
1 1.623496 1.005832
1 0.823261 3.252850
1 1.606218 0.660896
1 0.660590 5.287778
1 2.322867 2.315744
1 1.304795 2.663382
1 1.417983 2.056031
1 1.217977 4.483345
1 2.012072 3.623990
1 1.724958 5.478210
1 2.409487 4.764199
1 2.113545 5.256499
1 2.309318 4.396917
1 1.981857 2.444537
1 1.347055 5.876296
1 2.626980 3.805113
1 1.783604 2.275038
1 1.291340 3.389808
1 1.649888 2.859304
1 1.480820 2.523906
1 1.372891 1.510732
1 1.024976 0.522043
1 0.584789 2.648857
1 1.413303 2.968051
1 1.515528 1.820656
1 1.136836 0.659541
1 0.659887 1.359594
1 0.967661 5.039232
1 2.219354 3.313997
1 1.625702 4.202322
1 1.915206 5.426427
1 2.385155 1.531528
1 1.032703 4.470891
1 2.007692 1.656643
1 1.078473 2.405338
1 1.334239 0.508973
1 0.577209 2.888775
1 1.490235 1.463146
1 1.007157 4.997348
1 2.202729 3.087200
1 1.553482 0.020287
1 0.113706 1.672076
1 1.084040 4.176363
1 1.906441 2.671554
1 1.420615 1.173854
1 0.893934 6.053695
1 2.757000 0.842193
1 0.749658 5.000508
1 2.203976 5.944173
1 2.672744 1.075400
1 0.853049 3.807618
1 1.784420 0.400890
1 0.510720 2.183355
1 1.260840 1.837631
1 1.142783 3.202277
1 1.590114 5.188884
1 2.280584 5.242303
1 2.303224 4.564377
1 2.040796 2.069897
1 1.222676 5.039645
1 2.219519 3.969486
1 1.837472 0.284884
1 0.429153 0.260252
1 0.409904 0.963307
1 0.804641 4.819612
1 2.134275 0.387870
1 0.502176 3.262878
1 1.609412 5.838020
1 2.602743 1.385540
1 0.977655 1.285307
1 0.938654 0.559157
1 0.605856 4.396288
1 1.981639 4.438827
1 1.996457 3.107858
1 1.560058 1.644803
1 1.074192 4.470934
1 2.007707 2.377345
1 1.325063 1.260687
1 0.928906 1.461517
1 1.006543 2.740073
1 1.442638 2.949946
1 1.509755 5.411000
1 2.378027 6.140169
1 2.838697 2.792996
1 1.459606 0.215156
1 0.372243 3.290955
1 1.618358 0.198792
1 0.357649 4.732330
1 2.101740 3.717058
1 1.755013 5.170377
1 2.272843 2.070805
1 1.222984 1.458190
1 1.005289 3.371106
1 1.643918 2.705655
1 1.431584 2.535775
1 1.376743 6.203544
1 2.915945 6.075272
1 2.775741 5.344041
1 2.347681 5.450753
1 2.396505 1.957873
1 1.184468 0.932364
1 0.790881 6.268097
1 3.043545 4.018243
1 1.853597 2.941000
1 1.506902 5.855393
1 2.613619 4.340252
1 1.962264 5.123352
1 2.253398 3.402562
1 1.653961 3.599049
1 1.716929 1.000384
1 0.820893 5.939183
1 2.669240 5.160592
1 2.268771 0.976494
1 0.810450 0.258080
1 0.408166 2.158986
1 1.252685 0.691272
1 0.676193 0.606568
1 0.631872 3.259549
1 1.608352 0.140775
1 0.300496 3.527906
1 1.694076 5.383911
1 2.365637 3.247829
1 1.604619 4.238164
1 1.927353 4.631806
1 2.065022 4.388556
1 1.978956 0.143254
1 0.303150 1.206269
1 0.907100 4.215961
1 1.919822 2.173176
1 1.257437 0.416514
1 0.520804 0.884110
1 0.769039 5.787552
1 2.572212 1.392709
1 0.980404 2.388330
1 1.328667 3.682046
1 1.743688 1.051257
1 0.842801 0.165497
1 0.326032 4.342476
1 1.963029 4.789948
1 2.123145 4.484280
1 2.012401 0.485843
1 0.563574 3.705881
1 1.751395 5.815107
1 2.588694 5.841463
1 2.604883 2.704572
1 1.431236 3.179101
1 1.582736 5.222935
1 2.294964 5.775731
1 2.565270 3.780201
1 1.775498 4.547999
1 2.034958 3.263088
1 1.609479 3.083894
1 1.552429 1.014228
1 0.826899 6.133115
1 2.831257 3.608812
1 1.720071 1.716887
1 1.100110 3.339056
1 1.633692 4.389170
1 1.979169 4.191194
1 1.911445 0.612187
1 0.634893 3.447812
1 1.668424 3.837378
1 1.794123 4.196951
1 1.913390 3.110964
1 1.561047 3.591359
1 1.714455 3.700093
1 1.749522 2.772853
1 1.453152 0.950124
1 0.798801 3.155885
1 1.575346 4.595294
1 2.051866 0.198904
1 0.357750 0.324317
1 0.458389 3.280221
1 1.614938 2.014655
1 1.203905 0.220285
1 0.376707 1.540275
1 1.035942 0.673435
1 0.667068 2.406262
1 1.334542 3.467246
1 1.674642 3.752120
1 1.766378 3.839721
1 1.794888 5.876358
1 2.627020 4.850809
1 2.146065 3.224207
1 1.597096 3.057908
1 1.544155 4.084873
1 1.875757 4.379353
1 1.975767 2.560635
1 1.384801 3.058966
1 1.544492 3.014565
1 1.530351 4.463889
1 2.005234 3.356469
1 1.639247 1.738224
1 1.107716 3.804708
1 1.783472 1.759944
1 1.115429 4.419401
1 1.989678 3.333164
1 1.631813 5.895224
1 2.639356 1.479079
1 1.013145 2.598061
1 1.396910 3.754054
1 1.767005 4.919749
1 2.172448 5.782116
1 2.569010 4.281935
1 1.942263 5.159609
1 2.268363 3.313834
1 1.625650 1.446827
1 1.001000 0.902794
1 0.777554 5.651858
1 2.496497 1.579732
1 1.050479 4.093586
1 1.878666 0.030257
1 0.138901 5.880659
1 2.629808 1.730094
1 1.104822 5.395785
1 2.371049 1.752560
1 1.112810 5.984300
1 2.701851 3.184444
1 1.584437 0.772516
1 0.716513 2.616792
1 1.402960 4.413758
1 1.987713 2.742555
1 1.443435 0.676943
1 0.668871 4.814018
1 2.132170 0.627474
1 0.643053 2.772551
1 1.453055 2.165038
1 1.254712 1.866509
1 1.152864 4.760274
1 2.112087 2.126918
1 1.241919 2.078216
1 1.225492 0.349384
1 0.476103 3.601414
1 1.717690 3.049142
1 1.541364 1.272232
1 0.933486 0.719265
1 0.690307 6.122008
1 2.819881 5.432502
1 2.387976 3.090326
1 1.554477 2.308410
1 1.302374 5.057413
1 2.226636 1.019157
1 0.829028 1.002669
1 0.821887 0.362684
1 0.485259 0.937774
1 0.793300 2.941168
1 1.506956 2.391432
1 1.329684 5.552480
1 2.445587 2.664910
1 1.418475 2.590230
1 1.394379 4.092205
1 1.878204 1.937279
1 1.177381 0.377886
1 0.495534 5.117130
1 2.250848 5.640145
1 2.490321 5.777338
1 2.566210 5.662519
1 2.502162 4.838344
1 2.141344 1.073144
1 0.852095 3.596759
1 1.716192 0.197316
1 0.356304 5.047080
1 2.222492 3.281171
1 1.615240 5.413729
1 2.379284 1.741687
1 1.108948 5.463192
1 2.402364 3.687362
1 1.745406 2.445239
1 1.347284 5.101289
1 2.244380 3.302884
1 1.622159 5.905387
1 2.646118 2.639177
1 1.410183 3.643384
1 1.731208 4.707017
1 2.092422 5.534130
1 2.436526 2.124249
1 1.241021 1.190969
1 0.900902 4.669198
1 2.078592 4.517104
1 2.023990 5.523937
1 2.431534 0.457850
1 0.546667 4.461775
1 2.004492 5.523296
1 2.431221 2.258047
1 1.285709 0.564564
1 0.608872 1.011776
1 0.825837 2.618809
1 1.403611 0.605878
1 0.631500 4.239220
1 1.927712 3.534993
1 1.696349 5.108524
1 2.247330 5.517842
1 2.428563 4.834032
1 2.139714 3.991113
1 1.844616 5.633026
1 2.486593 5.519231
1 2.429239 3.056586
1 1.543734 0.710443
1 0.685885 2.371805
1 1.323245 2.404070
1 1.333824 4.320179
1 1.955361 0.764912
1 0.712820 0.482685
1 0.561689 0.900393
1 0.776464 3.001105
1 1.526063 4.452189
1 2.001132 1.495520
1 1.019301 2.456516
1 1.350963 6.131640
1 2.829723 3.950657
1 1.831265 4.280098
1 1.941635 5.709471
1 2.527647 2.277027
1 1.291999 5.398595
1 2.372333 4.990595
1 2.200068 2.694690
1 1.428059 0.461883
1 0.549132 3.132988
1 1.568057 3.040263
1 1.538536 2.832050
1 1.472106 3.139440
1 1.570111 4.654325
1 2.073182 5.861228
1 2.617317 1.885721
1 1.159545 0.918574
1 0.784688 0.691266
1 0.676190 0.504678
1 0.574699 6.110248
1 2.808246 2.564655
1 1.386103 1.497977
1 1.020219 6.051714
1 2.755322 5.236872
1 2.300902 1.244573
1 0.922486 0.813557
1 0.736183 1.233436
1 0.918032 2.130748
1 1.243207 3.617099
1 1.722739 2.766286
1 1.451046 3.679902
1 1.742995 2.719848
1 1.436144 2.313486
1 1.304050 2.402168
1 1.333201 3.770745
1 1.772425 2.698457
1 1.429270 0.934859
1 0.791997 4.210970
1 1.918132 6.254286
1 3.005851 4.386081
1 1.978098 2.530489
1 1.375028 5.336173
1 2.344175 5.149241
1 2.264065 4.984967
1 2.197854 2.351478
1 1.316565 0.060368
1 0.196355 3.014538
1 1.530343 4.015319
1 1.852628 4.062049
1 1.868149 4.052013
1 1.864810 5.020483
1 2.211887 2.371048
1 1.322996 2.247318
1 1.282148 2.447304
1 1.347958 2.100511
1 1.233024 4.357946
1 1.968365 0.910418
1 0.781007 1.831708
1 1.140710 4.189982
1 1.911036 5.368134
1 2.358493 1.977311
1 1.191139 0.905674
1 0.778860 3.784044
1 1.776748 0.035112
1 0.149648 5.785742
1 2.571145 2.399894
1 1.332456 3.245463
1 1.603865 2.164278
1 1.254458 1.659599
1 1.079541 1.828406
1 1.139553 5.237966
1 2.301369 0.781570
1 0.720890 3.987431
1 1.843399 0.305975
1 0.445013 2.877987
1 1.486789 2.367608
1 1.321867 0.979378
1 0.811716 4.749181
1 2.107972 4.184433
1 1.909163 0.072449
1 0.215176 4.994383
1 2.201560 3.524329
1 1.692929 1.813669
1 1.134384 2.611042
1 1.401104 2.014460
1 1.203839 3.233266
1 1.599981 4.518586
1 2.024514 5.290718
1 2.324149 1.457041
1 1.004857 2.921725
1 1.500753 2.345886
1 1.314726 0.314430
1 0.451224 0.464015
1 0.550431 1.272027
1 0.933405 3.557430
1 1.703551 5.224619
1 2.295679 2.654975
1 1.415275 5.275039
1 2.317328 1.841246
1 1.144048 1.138487
1 0.879407 2.246400
1 1.281843 5.869187
1 2.622401 3.703430
1 1.750602 2.318750
1 1.305786 2.909484
1 1.496846 3.944774
1 1.829327 5.934167
1 2.665744 2.549631
1 1.381236 0.317185
1 0.453232 2.795076
1 1.460272 3.744321
1 1.763848 4.701777
1 2.090499 5.429750
1 2.386697 0.823242
1 0.740763 0.657091
1 0.658614 4.180254
1 1.907753 5.236267
1 2.300643 3.652322
1 1.734091 4.138065
1 1.893558 6.170292
1 2.872697 0.118853
1 0.275946 5.789785
1 2.573532 1.223203
1 0.913925 6.080384
1 2.780316 3.286561
1 1.616958 1.751725
1 1.112514 4.522604
1 2.025938 3.709961
1 1.752715 5.259540
1 2.310628 5.244521
1 2.304174 4.146196
1 1.896288 4.589541
1 2.049801 4.040256
1 1.860902 2.196156
1 1.265116 3.360726
1 1.640605 4.172960
1 1.905294 2.032164
1 1.209869 5.461269
1 2.401455 2.779495
1 1.455280 5.767759
1 2.560630 1.738354
1 1.107762 5.980042
1 2.698678 0.736627
1 0.698940 2.613852
1 1.402011 5.255102
1 2.308717 6.047788
1 2.752018 2.091850
1 1.230100 3.306097
1 1.623184 3.367513
1 1.642771 5.140320
1 2.260378 5.842672
1 2.605635 4.165080
1 1.902639 1.528250
1 1.031488 5.915173
1 2.652710 3.749322
1 1.765470 0.791893
1 0.725854 1.551781
1 1.040194 5.571461
1 2.455064 1.232622
1 0.917705 1.023896
1 0.831073 5.252724
1 2.307695 3.785023
1 1.777066 3.915949
1 1.819848 5.269573
1 2.314961 4.220090
1 1.921221 2.460215
1 1.352170 5.474438
1 2.407692 4.193070
1 1.912079 0.726378
1 0.693854 0.000253
1 0.012685 4.247843
1 1.930643 3.950573
1 1.831237 2.856004
1 1.479765 3.608722
1 1.720042 0.202754
1 0.361234 2.207865
1 1.269022 5.372641
1 2.360529 2.330039
1 1.309508 4.155858
1 1.899536 3.621817
1 1.724258 0.376739
1 0.494765 4.677632
1 2.081667 1.756108
1 1.114069 2.781087
1 1.455790 1.108480
1 0.866943 0.576802
1 0.615650 5.637555
1 2.488963 6.235555
1 2.967240 3.733212
1 1.760246 0.207368
1 0.365367 4.341251
1 1.962608 3.061242
1 1.545217 3.577268
1 1.709925 5.628000
1 2.483971 2.730062
1 1.439424 4.326565
1 1.957555 1.276481
1 0.935168 3.026738
1 1.534229 1.711809
1 1.098296 5.950930
1 2.677526 1.534983
1 1.033984 5.989523
1 2.705773 2.996776
1 1.524683 0.798515
1 0.729024 6.040881
1 2.746270 5.385669
1 2.366436 1.366026
1 0.970144 0.044032
1 0.167623 4.916433
1 2.171168 0.316630
1 0.452828 6.032202
1 2.739157 4.029872
1 1.857454 3.602780
1 1.718129 0.861383
1 0.758581 0.810801
1 0.734876 5.181283
1 2.277399 3.153240
1 1.574504 4.121064
1 1.887857 3.173379
1 1.580914 3.307810
1 1.623730 0.743912
1 0.702537 5.674071
1 2.508350 4.202851
1 1.915384 1.744124
1 1.109814 2.429754
1 1.342226 2.459826
1 1.352043 5.221935
1 2.294539 1.526822
1 1.030958 0.775623
1 0.718018 4.576085
1 2.044981 4.071977
1 1.871456 1.264282
1 0.930333 5.332510
1 2.342547 0.141726
1 0.301517 0.663268
1 0.661820 1.181106
1 0.896891 2.268025
1 1.289017 4.898738
1 2.164358 4.518894
1 2.024624 4.186889
1 1.909991 3.650338
1 1.733451 2.206482
1 1.268561 0.987429
1 0.815243 1.835260
1 1.141954 1.062546
1 0.847604 1.405528
1 0.985308 4.218226
1 1.920589 2.543214
1 1.379156 5.570109
1 2.454385 3.640241
1 1.730195 2.147894
1 1.248965 2.747262
1 1.444945 4.395962
1 1.981526 5.241954
1 2.303075 4.976172
1 2.194401 5.334850
1 2.343586 1.773238
1 1.120135 1.662919
1 1.080739 1.067896
1 0.849874 3.352281
1 1.637911 0.459827
1 0.547876 6.275241
1 3.070462 4.713463
1 2.094790 0.767936
1 0.714290 1.034210
1 0.835508 2.671026
1 1.420444 4.858174
1 2.148862 1.341886
1 0.960800 2.726452
1 1.438265 0.207830
1 0.365779 5.839099
1 2.603413 0.666288
1 0.663383 1.673129
1 1.084419 3.028801
1 1.534886 4.981185
1 2.196368 1.618074
1 1.064489 1.344072
1 0.961649 1.774777
1 1.120679 2.391554
1 1.329723 1.307677
1 0.947453 5.834111
1 2.600323 4.800753
1 2.127190 3.873980
1 1.806088 3.618189
1 1.723090 2.238913
1 1.279356 5.704176
1 2.524727 1.243446
1 0.922036 0.716953
1 0.689150 4.970882
1 2.192328 4.386685
1 1.978307 0.114676
1 0.271023 4.699628
1 2.089711 0.719609
1 0.690479 5.623223
1 2.481487 4.113154
1 1.885209 2.173294
1 1.257476 2.402772
1 1.333399 1.351194
1 0.964410 2.081566
1 1.226625 0.111747
1 0.267519 5.745144
1 2.547642 4.935253
1 2.178447 2.472125
1 1.356052 4.586621
1 2.048754 5.224789
1 2.295752 5.515359
1 2.427356 0.814359
1 0.736563 2.157802
1 1.252288 5.919197
1 2.655444 2.275716
1 1.291565 2.212061
1 1.270421 0.506772
1 0.575924 3.593299
1 1.715079 4.878224
1 2.156501 5.304274
1 2.330081 3.099467
1 1.557387 5.135353
